,Radius,Theta,Phi,LMP.Int.En.
530,5.5,135,45,77825.1811962976
531,6.0,135,45,14487.8136565939
532,7.0,135,45,662.717140080033
533,8.0,135,45,28.2074409003599
534,9.0,135,45,-3.62094501637858
535,10.0,135,45,-2.8073202214073
536,12.0,135,45,-0.967761970573269
537,15.0,135,45,-0.519879367053512
538,20.0,135,45,-0.375800037143229
539,30.0,135,45,-0.261097750313848
540,3.0,150,45,6917853836.06587
541,3.5,150,45,1460153203.2787
542,4.0,150,45,146262962.134647
543,4.5,150,45,13544823.4190923
544,5.0,150,45,1479712.3047282
545,5.5,150,45,199081.88499117
546,6.0,150,45,32282.3964573925
547,7.0,150,45,1265.09786077299
548,8.0,150,45,56.8432056595557
549,9.0,150,45,-2.7037134073992
550,10.0,150,45,-3.0782659425548
551,12.0,150,45,-1.02253304873908
552,15.0,150,45,-0.522617862737483
553,20.0,150,45,-0.374619475130901
554,30.0,150,45,-0.240228909127111
555,3.0,165,45,2217432341.1321
556,3.5,165,45,516746628.181921
557,4.0,165,45,63615937.5787507
558,4.5,165,45,7065928.80687183
559,5.0,165,45,881741.610459847
560,5.5,165,45,130238.785822759
561,6.0,165,45,22541.7356184243
562,7.0,165,45,950.657896482419
563,8.0,165,45,42.1937993570333
564,9.0,165,45,-3.1997585032342
565,10.0,165,45,-2.95356275725592
566,12.0,165,45,-0.993347718922084
567,15.0,165,45,-0.518285325545742
568,20.0,165,45,-0.372611885728882
569,30.0,165,45,-0.258698721051307
570,3.0,175,45,259048415.904013
571,3.5,175,45,69687551.7360855
572,4.0,175,45,11836044.3673717
573,4.5,175,45,1790998.98488808
574,5.0,175,45,284953.709397103
575,5.5,175,45,50360.0275370224
576,6.0,175,45,9918.16448130261
577,7.0,175,45,482.310152746998
578,8.0,175,45,19.1487335870321
579,9.0,175,45,-3.81516134372811
580,10.0,175,45,-2.66337056024312
581,12.0,175,45,-0.934205568392962
582,15.0,175,45,-0.512004723929697
583,20.0,175,45,-0.371170481215768
584,30.0,175,45,-0.237861463110652
585,3.0,5,60,27245977979231.9
586,3.5,5,60,2674329700.88034
587,4.0,5,60,10772692.36462
588,4.5,5,60,217806.91636093
589,5.0,5,60,10072.2744211609
590,5.5,5,60,720.600318710222
591,6.0,5,60,53.5449446281029
592,7.0,5,60,-5.64528522199732
593,8.0,5,60,-2.56184894178336
594,9.0,5,60,-1.36530746453414
595,10.0,5,60,-0.94232780143984
596,12.0,5,60,-0.653881846070519
597,15.0,5,60,-0.498138085040042
598,20.0,5,60,-0.375700056019595
599,30.0,5,60,-0.241008195845203
600,3.0,15,60,5514217613.78685
601,3.5,15,60,79492754.8447011
602,4.0,15,60,1597410.16295905
603,4.5,15,60,62705.7876897286
604,5.0,15,60,4019.48574758566
605,5.5,15,60,335.184990954647
606,6.0,15,60,21.9300003751601
607,7.0,15,60,-5.55020044556423
608,8.0,15,60,-2.47671036240294
609,9.0,15,60,-1.3489935246175
610,10.0,15,60,-0.939013488319041
611,12.0,15,60,-0.653456930837609
612,15.0,15,60,-0.498091540256598
613,20.0,15,60,-0.37583663170335
614,30.0,15,60,-0.261347462973578
615,3.0,30,60,2733316.65310308
616,3.5,30,60,325557.138662849
617,4.0,30,60,31844.4920842171
618,4.5,30,60,3339.84414645283
619,5.0,30,60,379.842485072004
620,5.5,30,60,34.7460652671679
621,6.0,30,60,-5.26982073766071
622,7.0,30,60,-4.98154913266131
623,8.0,30,60,-2.29196807889824
624,9.0,30,60,-1.31108592377958
625,10.0,30,60,-0.928885792434986
626,12.0,30,60,-0.650330630272769
627,15.0,30,60,-0.496650950587181
628,20.0,30,60,-0.375847425775001
629,30.0,30,60,-0.242023302520214
630,3.0,45,60,111904.071123253
631,3.5,45,60,16458.1781641625
632,4.0,45,60,2690.44853502075
633,4.5,45,60,454.893188039565
634,5.0,45,60,67.5245832681061
635,5.5,45,60,1.04665533277184
636,6.0,45,60,-7.55729051362852
637,7.0,45,60,-4.5376058465681
638,8.0,45,60,-2.21414645316763
639,9.0,45,60,-1.3020428090297
640,10.0,45,60,-0.926970330702343
641,12.0,45,60,-0.647233719045304
642,15.0,45,60,-0.494305880277139
643,20.0,45,60,-0.375186233082831
644,30.0,45,60,-0.262017145617267
645,3.0,60,60,91097.7612677829
646,3.5,60,60,12424.8221319358
647,4.0,60,60,2048.29698737233
648,4.5,60,60,365.800096708617
649,5.0,60,60,58.1253289933294
650,5.5,60,60,1.00247684104648
651,6.0,60,60,-7.26603833690843
652,7.0,60,60,-4.67411666987488
653,8.0,60,60,-2.32903642483611
654,9.0,60,60,-1.35612887744997
655,10.0,60,60,-0.948141008630568
656,12.0,60,60,-0.648046533186428
657,15.0,60,60,-0.492128405799193
658,20.0,60,60,-0.374078596813988
659,30.0,60,60,-0.240933002487725
660,3.0,75,60,93188.0849061256
661,3.5,75,60,13170.890797912
662,4.0,75,60,2299.68892759905
663,4.5,75,60,445.714661662208
664,5.0,75,60,81.5433866498078
665,5.5,75,60,6.72756975236104
666,6.0,75,60,-6.65296935558717
667,7.0,75,60,-5.3736409960504
668,8.0,75,60,-2.70422681249461
669,9.0,75,60,-1.51397386225866
670,10.0,75,60,-1.01130152072111
671,12.0,75,60,-0.657192995206057
672,15.0,75,60,-0.491260189534569
673,20.0,75,60,-0.372591497664373
674,30.0,75,60,-0.272317234019391
675,3.0,90,60,110575.167090428
676,3.5,90,60,18950.8922289595
677,4.0,90,60,4110.16713163996
678,4.5,90,60,994.502581152071
679,5.0,90,60,243.241708296867
680,5.5,90,60,52.0073293014459
681,6.0,90,60,4.44593416841177
682,7.0,90,60,-6.03906243591267
683,8.0,90,60,-3.44911361986741
684,9.0,90,60,-1.85125963934658
685,10.0,90,60,-1.14890840181106
686,12.0,90,60,-0.680325897777404
687,15.0,90,60,-0.492672407152563
688,20.0,90,60,-0.372235624917039
689,30.0,90,60,-0.236246078716581
690,3.0,105,60,265989.499254512
691,3.5,105,60,70398.7655377642
692,4.0,105,60,19413.9006992323
693,4.5,105,60,5340.69968770888
694,5.0,105,60,1459.47893876504
695,5.5,105,60,390.182930570892
696,6.0,105,60,96.5385155774125
697,7.0,105,60,-1.48245612741866
698,8.0,105,60,-4.4053895033682
699,9.0,105,60,-2.46403583674928
700,10.0,105,60,-1.40895842083495
701,12.0,105,60,-0.724216154632172
702,15.0,105,60,-0.496838813084355
703,20.0,105,60,-0.372520725329517
704,30.0,105,60,-0.257822820525678
705,3.0,120,60,2216243.19728112
706,3.5,120,60,693378.172561607
707,4.0,120,60,183416.595937196
708,4.5,120,60,45373.8994890385
709,5.0,120,60,11144.8889620528
710,5.5,120,60,2782.44917708398
711,6.0,120,60,702.775292206787
712,7.0,120,60,37.0725184874416
713,8.0,120,60,-3.67567888276341
714,9.0,120,60,-3.30756563715267
715,10.0,120,60,-1.8235747771639
716,12.0,120,60,-0.792777037857707
717,15.0,120,60,-0.503318084259609
718,20.0,120,60,-0.373420109141968
719,30.0,120,60,-0.239608938477059
720,3.0,135,60,32177779.520248
721,3.5,135,60,9523055.47126821
722,4.0,135,60,2048865.65302325
723,4.5,135,60,398090.881823952
724,5.0,135,60,78390.8963280968
725,5.5,135,60,16369.9934219568
726,6.0,135,60,3647.39394822129
727,7.0,135,60,199.42821539099
728,8.0,135,60,4.4293400355258
729,9.0,135,60,-3.90227732730755
730,10.0,135,60,-2.32224361756924
731,12.0,135,60,-0.876375444836754
732,15.0,135,60,-0.510344924475206
733,20.0,135,60,-0.37382692864288
734,30.0,135,60,-0.240274276486098
735,3.0,150,60,311607385.797497
736,3.5,150,60,82959198.2051891
737,4.0,150,60,13750439.0538792
738,4.5,150,60,2030048.60862625
739,5.0,150,60,316536.691628537
740,5.5,150,60,55090.0240342494
741,6.0,150,60,10728.5851634749
742,7.0,150,60,515.492090076552
743,8.0,150,60,20.8313264142462
744,9.0,150,60,-3.78711012998461
745,10.0,150,60,-2.69536234182152
746,12.0,150,60,-0.942735879276084
747,15.0,150,60,-0.514939914005276
748,20.0,150,60,-0.373202877267128
749,30.0,150,60,-0.239730070089634
750,3.0,165,60,481374874.21606
751,3.5,165,60,124886097.337629
752,4.0,165,60,19497764.5326191
753,4.5,165,60,2712207.37006499
