,Radius,Theta,Phi,"('OPT', 'INT.EN.')",LMP,Coulomb,Delta.Ener.
707,9.0,60.0,120.0,-1.5571557851108082,-1.1816069930186,-1.5999605946910977,0.37554879209220826
708,10.0,60.0,120.0,-1.404449054181896,-0.8641692829858101,-1.4399645352219879,0.5402797711960858
709,12.0,60.0,120.0,-1.1729693063753075,-0.620619460102745,-1.1999704460183234,0.5523498462725625
710,15.0,60.0,120.0,-0.9444404701098392,-0.481024003666538,-0.9599763568146586,0.4634164664433012
711,20.0,60.0,120.0,-0.7136751735670259,-0.368839333082996,-0.7199822676109939,0.34483584048402993
712,4.0,60.0,135.0,-3.4034793366663507,1985.8777283472302,-3.59991133805497,1989.2812076838966
713,4.5,60.0,135.0,-3.170675803907216,351.009683094021,-3.1999211893821955,354.1803588979282
714,5.0,60.0,135.0,-2.965422849818424,56.63435382237989,-2.8799290704439757,59.59977667219832
715,5.5,60.0,135.0,-2.7118799170239067,2.56771409294765,-2.618117336767251,5.279594009971557
716,6.0,60.0,135.0,-2.4637786491766747,-5.47464220011407,-2.3999408920366467,3.0108635509373958
717,7.0,60.0,135.0,-2.0237286697956733,-3.7061355862079197,-2.0570921931742685,1.6824069164122464
718,8.0,60.0,135.0,-1.738693140079704,-1.9008525345281801,-1.799955669027485,0.16215939444847605
719,9.0,60.0,135.0,-1.5339646419161002,-1.16421118604719,-1.5999605946910977,0.3697534558689102
720,10.0,60.0,135.0,-1.3776865172549149,-0.854940750505407,-1.4399645352219879,0.5227457667495079
721,12.0,60.0,135.0,-1.147388067412976,-0.616889515490084,-1.1999704460183234,0.530498551922892
722,15.0,60.0,135.0,-0.9188013879065692,-0.4792512103315129,-0.9599763568146586,0.43955017757505627
723,20.0,60.0,135.0,-0.6892659752629697,-0.367935230859021,-0.7199822676109939,0.3213307444039487
724,4.0,60.0,150.0,-3.4399183621935663,1985.74067253178,-3.59991133805497,1989.1805908939737
725,4.5,60.0,150.0,-3.2134884571460134,351.232328124558,-3.1999211893821955,354.44581658170404
726,5.0,60.0,150.0,-3.014728719361301,56.867263186910705,-2.8799290704439757,59.881991906272006
727,5.5,60.0,150.0,-2.7494015529846365,2.7426471222273303,-2.618117336767251,5.492048675211967
728,6.0,60.0,150.0,-2.4911020916842967,-5.3552944391459505,-2.3999408920366467,2.8641923474616537
729,7.0,60.0,150.0,-2.0560093166168367,-3.6543925528239196,-2.0570921931742685,1.598383236207083
730,8.0,60.0,150.0,-1.7397166092887346,-1.87783059265137,-1.799955669027485,0.13811398336263547
731,9.0,60.0,150.0,-1.5522663480332994,-1.1530291216431001,-1.5999605946910977,0.3992372263901993
732,10.0,60.0,150.0,-1.3924570943236176,-0.848827112831984,-1.4399645352219879,0.5436299814916337
733,12.0,60.0,150.0,-1.1609911181985808,-0.61424062344402,-1.1999704460183234,0.5467504947545608
734,15.0,60.0,150.0,-0.9333965739897394,-0.47784397540647,-0.9599763568146586,0.4555525985832694
735,20.0,60.0,150.0,-0.7066213945472555,-0.36720495753823496,-0.7199822676109939,0.3394164370090205
736,4.0,60.0,180.0,-3.4399278834571305,1985.7684216002697,-3.59991133805497,1989.2083494837268
737,4.5,60.0,180.0,-3.2973650864769297,351.430367893283,-3.1999211893821955,354.72773297975994
738,5.0,60.0,180.0,-3.0464675956500287,57.0452716123475,-2.8799290704439757,60.09173920799753
739,5.5,60.0,180.0,-2.7704839607067697,2.8708210217014503,-2.618117336767251,5.64130498240822
740,6.0,60.0,180.0,-2.5035489742149366,-5.269249464033731,-2.3999408920366467,2.7657004898187942
741,7.0,60.0,180.0,-2.054848516989296,-3.6172955940108595,-2.0570921931742685,1.5624470770215635
742,8.0,60.0,180.0,-1.7294345639456878,-1.86115832308518,-1.799955669027485,0.1317237591394922
743,9.0,60.0,180.0,-1.5425946867326277,-1.14477219397374,-1.5999605946910977,0.3978224927588876
