,Radius,Theta,Phi,"[('OPT', 'INT.EN.')-('OPT', 'COUL.EN.')]",LMP,Coulomb,Delta.Ener.
2307,15.0,165.0,120.0,-0.007478865108349164,0.0140183616630995,-0.9599763568146586,0.021497226771448663
2308,20.0,165.0,120.0,-0.005210557455648024,0.0140307082000637,-0.7199822676109939,0.01924126565571172
2309,3.0,165.0,135.0,-0.6763919216695273,-2.92146159942267,-4.7998817840732935,2.2450696777531425
2310,3.5,165.0,135.0,-1.2140385933360567,-1.12496381070304,-4.114184386348537,0.08907478263301671
2311,4.0,165.0,135.0,-1.3123231694431512,-0.42774460717396706,-3.59991133805497,0.8845785622691842
2312,4.5,165.0,135.0,-1.155132626117381,-0.168974205139005,-3.1999211893821955,0.9861584209783761
2313,5.0,165.0,135.0,-0.8893295867931044,-0.0674487790979101,-2.8799290704439757,0.8218808076951942
2314,5.5,165.0,135.0,-0.6602639451149468,-0.0247554200035383,-2.618117336767251,0.6355085251114085
2315,6.0,165.0,135.0,-0.6293328616056826,-0.0055601162928237,-2.3999408920366467,0.6237727453128589
2316,7.0,165.0,135.0,-0.3867707552422228,0.00823038203834812,-2.0570921931742685,0.39500113728057096
2317,8.0,165.0,135.0,-0.1172507647265657,0.012017673947366001,-1.799955669027485,0.1292684386739317
2318,9.0,165.0,135.0,-0.03390320855659801,0.0132406570539229,-1.5999605946910977,0.047143865610520905
2319,10.0,165.0,135.0,-0.023648870281599566,0.0136890817065005,-1.4399645352219879,0.03733795198810007
2320,12.0,165.0,135.0,-0.01379106493298532,0.0139513980354204,-1.1999704460183234,0.02774246296840572
2321,15.0,165.0,135.0,-0.0038246829176129538,0.0140183715501865,-0.9599763568146586,0.017843054467799456
2322,20.0,165.0,135.0,-0.003705662089010908,0.0140307087457008,-0.7199822676109939,0.01773637083471171
2323,3.0,165.0,150.0,-0.5372664449572597,-2.90013596300677,-4.7998817840732935,2.3628695180495103
